Variant,Timesteps,Mean_Reward,Std_Reward,Mean_Length
Baseline,100000,153.70303950690254,233.03700841468594,233.2
Baseline,200000,37.39787799001759,21.67709555129594,37.2
Baseline,300000,364.4610347015137,339.10284399473466,374.2
Baseline,400000,795.3037376195299,417.21131340347637,802.2
Baseline,500000,676.3108279825283,300.42683071473095,665.4
Baseline,600000,782.8626568248246,177.93481475546793,753.4
Baseline,700000,740.3381104377307,485.23394223547325,373.0
Baseline,800000,919.7805648529531,624.4469765733977,497.8
Baseline,900000,1022.534068398496,871.4831749724473,460.0
Baseline,1000000,1578.2294342328285,567.0058396842563,712.8
Symmetric,100000,89.08486333292542,32.719790236039174,85.6
Symmetric,200000,222.98896010461584,237.54931356239248,283.6
Symmetric,300000,566.915127350211,382.8167276888789,630.6
Symmetric,400000,1067.908876160413,140.96345633493522,957.4
Symmetric,500000,1062.309397209286,570.950597171274,692.6
Symmetric,600000,1481.9642892178704,349.5161205746844,904.4
Symmetric,700000,1776.0244605142718,49.05358952206497,1000.0
Symmetric,800000,722.4605442159215,254.71713790498464,466.6
Symmetric,900000,1456.5493064318794,661.9818298338671,748.2
Symmetric,1000000,1055.1634911363742,783.3990695648562,633.8
Efficient,100000,3.811340622177229,10.504506420807928,36.4
Efficient,200000,2.7462395645782136,10.689879449102424,27.6
Efficient,300000,31.078911623356497,29.869221636159992,54.0
Efficient,400000,406.5546982004683,237.80217380880896,569.0
Efficient,500000,904.0473948954452,101.08835770008321,1000.0
Efficient,600000,1213.330575261188,255.42201400325112,916.4
Efficient,700000,1178.1064455381934,347.206828088822,868.2
Efficient,800000,969.1077099650435,575.267472879798,573.8
Efficient,900000,702.7505029022574,543.5416204440903,489.2
Efficient,1000000,1509.1529679925054,556.929091647497,842.0
Speed,100000,244.4120160820531,246.54063584015483,446.2
Speed,200000,285.8615758756288,240.88985076825062,468.6
Speed,300000,818.9708186719974,415.9244724471167,652.8
Speed,400000,595.7973137788533,488.399804966145,471.6
Speed,500000,874.8486088148964,557.2054943511289,602.2
Speed,600000,1641.7603389003536,100.66440106549764,1000.0
Speed,700000,1869.6966117430457,101.00973969697269,1000.0
Speed,800000,1110.3322912734814,598.3280300417147,604.2
Speed,900000,1540.6361097250806,392.4655586735886,820.2
Speed,1000000,741.8133620022811,752.7426088133816,490.2
